ZipCode,City,State,2018-12
1001,Agawam,MA,213900
1002,Amherst,MA,333400
1005,Barre,MA,231500
1007,Belchertown,MA,278400
1008,Blandford,MA,227600
1010,Brimfield,MA,261700
1011,Chester,MA,171200
1013,Chicopee,MA,178700
1020,Chicopee,MA,190400
1022,Chicopee,MA,123000
1026,Cummington,MA,219300
1027,Easthampton,MA,266600
1028,East Longmeadow,MA,263900
1030,Agawam,MA,248000
1033,Granby,MA,249100
1034,Tolland,MA,270700
1035,Hadley,MA,345900
1036,Hampden,MA,273000
1038,Hatfield,MA,308300
1040,Holyoke,MA,200800
1050,Huntington,MA,205800
1053,Northampton,MA,280900
1054,Leverett,MA,334800
1056,Ludlow,MA,222800
1060,Northampton,MA,317600
1062,Northampton,MA,302900
1068,Oakham,MA,290400
1071,Russell,MA,230600
1072,Shutesbury,MA,255300
1073,Southampton,MA,310000
1075,South Hadley,MA,237800
1077,Southwick,MA,250200
1081,Wales,MA,216300
1082,Ware,MA,190100
1083,Warren,MA,212300
1085,Westfield,MA,259800
1089,West Springfield,MA,222300
1092,Warren,MA,200700
1095,Wilbraham,MA,295000
1096,Williamsburg,MA,255900
1098,Worthington,MA,239700
1104,Springfield,MA,147200
1106,Longmeadow,MA,350000
1107,Springfield,MA,156000
1108,Springfield,MA,162600
1109,Springfield,MA,135200
1118,Springfield,MA,177300
1119,Springfield,MA,165200
1128,Springfield,MA,194000
1129,Springfield,MA,177600
1151,Springfield,MA,150900
1201,Pittsfield,MA,165200
1220,Adams,MA,141300
1223,Becket,MA,221800
1225,Cheshire,MA,201700
1226,Dalton,MA,185900
1230,Great Barrington,MA,375500
1235,Hinsdale,MA,204800
1238,Lee,MA,248800
1240,Lenox,MA,325200
1245,Monterey,MA,436800
1247,North Adams,MA,136200
1254,Richmond,MA,367900
1255,Sandisfield,MA,250400
1257,Sheffield,MA,288100
1262,Stockbridge,MA,397400
1266,West Stockbridge,MA,418300
1267,Williamstown,MA,299000
1270,Windsor,MA,212600
1301,Greenfield,MA,195400
1330,Ashfield,MA,273300
