RF,Actual,Neural,Linear,Tree
97432.0,147600.0,97150.0,20959.0,75800.0
105270.0,157700.0,100425.0,111173.0,118100.0
416826.0,432400.0,344546.0,447739.0,416600.0
114648.0,96800.0,99600.0,87448.0,116950.0
145763.0,159800.0,140297.0,143557.0,173400.0
146454.0,139400.0,148846.0,193923.0,147600.0
83422.0,113000.0,77241.0,49725.0,70600.0
141840.0,193200.0,157983.0,106433.0,96700.0
514757.0,340400.0,402316.0,587081.0,432800.0
95845.0,71600.0,92867.0,77720.0,80800.0
143289.0,127200.0,120695.0,118528.0,143200.0
357961.0,223400.0,281321.0,360842.0,493700.0
59789.0,57400.0,45790.0,117797.0,69700.0
147535.0,119500.0,158407.0,142670.0,103300.0
104386.0,80000.0,100621.0,52680.0,133300.0
200664.0,159000.0,138936.0,194123.0,323400.0
374570.0,497400.0,372872.0,497995.0,487200.0
133072.0,117200.0,129150.0,118556.0,97100.0
164745.0,169000.0,138305.0,116567.0,175600.0
172274.0,167800.0,168787.0,197774.0,168400.0
146944.0,141800.0,133376.0,136264.0,143000.0
465580.0,484100.0,423354.0,605570.0,412900.0
384386.0,397300.0,367809.0,436134.0,411800.0
89594.0,80100.0,76589.0,121711.0,76900.0
150318.0,140200.0,139031.0,148808.0,158800.0
194403.0,108200.0,226084.0,231677.0,207300.0
328988.0,253800.0,248105.0,299710.0,260900.0
177171.0,146100.0,173193.0,211207.0,160200.0
90008.0,117900.0,85387.0,136156.0,77400.0
93029.0,84000.0,87248.0,94512.0,85800.0
84332.0,114400.0,53360.0,88026.0,77800.0
61505.0,55800.0,83061.0,150085.0,49800.0
298873.0,242300.0,282313.0,321363.0,239300.0
133686.0,147500.0,130411.0,86336.0,116700.0
84570.0,155800.0,77454.0,95558.0,71900.0
111969.0,98700.0,105426.0,126489.0,105500.0
98587.0,85300.0,106387.0,113309.0,97300.0
118370.0,137900.0,115567.0,128452.0,95900.0
171097.0,191600.0,182455.0,157877.0,135600.0
151987.0,158400.0,164523.0,153193.0,156900.0
387650.0,406100.0,345158.0,488449.0,372600.0
144425.0,169000.0,123272.0,179649.0,125000.0
262463.0,274900.0,230564.0,297512.0,289400.0
102162.0,85200.0,102721.0,105281.0,113600.0
69136.0,37500.0,58074.0,29622.0,80500.0
343314.0,327600.0,307019.0,373897.0,568700.0
115347.0,74300.0,115446.0,108974.0,98700.0
81295.0,180900.0,52403.0,155819.0,69800.0
59275.0,59600.0,79430.0,124239.0,62500.0
150591.0,196400.0,107612.0,150917.0,137500.0
215897.0,295400.0,186176.0,241786.0,249400.0
191096.0,167700.0,150949.0,179135.0,194800.0
261180.0,311200.0,298818.0,266223.0,201900.0
86370.0,102600.0,87970.0,88555.0,116000.0
137712.0,133300.0,128261.0,106291.0,158900.0
114276.0,101000.0,97575.0,97764.0,120400.0
124968.0,122200.0,124051.0,185195.0,343600.0
230057.0,308200.0,206456.0,277093.0,182600.0
95853.0,104000.0,58656.0,107287.0,85300.0
85235.0,92500.0,99765.0,117832.0,74000.0
180719.0,186700.0,213995.0,176501.0,169700.0
145178.0,122400.0,123873.0,158939.0,174600.0
125283.0,132900.0,141207.0,141983.0,101300.0
84511.0,48800.0,73092.0,19492.0,43400.0
99222.0,99100.0,92474.0,62044.0,72700.0
127483.0,127400.0,115812.0,116267.0,131600.0
70875.0,22500.0,47933.0,10350.0,66100.0
83584.0,65700.0,83354.0,52258.0,53400.0
88997.0,112500.0,97115.0,105302.0,110800.0
120722.0,82400.0,136362.0,108501.0,125700.0
