Zipcode,Land-Sq-Mi
1001,11.442
1002,55.043
1003,0.711
1005,44.242
1007,52.643
1008,53.796
1009,0.797
1010,34.743
1011,31.616
1012,13.119
1013,5.624
1020,12.47
1022,4.761
1026,24.004
1027,40.501
1028,13.006
1029,15.848
1030,11.867
1031,8.092
1032,11.769
1033,27.826
1034,71.597
1035,23.086
1036,19.513
1037,14.111
1038,9.998
1039,13.207
1040,21.281
1050,38.329
1053,5.131
1054,22.807
1056,27.205
1057,44.908
1060,10.92
1062,18.154
1063,0.039
1066,0.71
1068,20.82
1069,28.065
1070,20.541
1071,15.579
1072,20.086
1073,28.152
1074,0.085
1075,17.718
1077,30.821
1079,1.128
1080,1.727
1081,14.497
1082,46.105
1083,15.78
1084,9.197
1085,59.882
1086,0.037
1088,5.2
1089,16.713
1092,6.703
1093,5.044
1094,1.136
1095,22.614
1096,31.683
1097,1.709
1098,31.352
1103,0.46
1104,5.216
1105,1.243
1106,9.301
1107,1.507
1108,3.723
1109,5.442
1118,3.595
1119,3.55
1128,1.117
1129,3.424
1151,2.368
1199,0.011
1201,52.918
1220,24.596
1222,3.307
1223,69.751
1224,0.278
1225,25.106
1226,26.378
1229,0.733
1230,91.522
1235,45.643
1236,4.802
1237,61.823
1238,34.833
1240,21.38
1242,0.497
1243,18.651
1244,2.45
1245,27.98
1247,52.526
1253,18.267
1254,14.561
1255,51.806
1256,35.845
1257,36.235
1258,25.807
1259,25.326
1260,2.511
1262,12.034
1264,11.361
1266,26.052
1267,54.554
1270,31.858
1301,25.491
1330,33.326
1331,53.224
1337,37.223
1338,3.454
1339,54.978
1340,44.182
1341,35.686
1342,17.834
1343,4.871
1344,13.634
1346,20.996
1347,0.577
1349,7.685
1350,10.721
1351,20.926
1354,13.764
1355,47.38
1360,34.285
1364,39.231
1366,40.405
1367,26.536
1368,41.842
1370,49.819
1373,24.161
1375,14.23
1376,2.761
1378,34.021
1379,30.209
1420,30.317
1430,36.979
1431,23.702
1432,8.444
1434,5.281
1436,9.595
1438,0.542
1440,24.042
1450,32.756
1451,19.132
1452,41.071
1453,28.47
1460,16.523
1462,26.454
1463,22.6
1464,15.014
1467,1.895
1468,21.4
1469,22.881
1473,35.433
1474,9.919
1475,42.852
1501,15.457
1503,12.972
1504,11.075
1505,16.061
1506,15.546
1507,42.183
1510,5.655
1515,9.853
1516,36.754
1518,8.871
1519,10.912
1520,18.081
1521,12.294
1522,16.378
1523,25.188
1524,15.975
1525,0.449
1527,15.569
1529,4.906
1531,20.789
1532,18.476
1534,8.758
1535,21.268
1536,8.339
1537,6.983
1540,19.355
1541,35.409
1542,4.026
1543,35.104
1545,20.739
1550,20.28
1560,3.567
1561,0.123
1562,32.832
1564,30.638
1566,28.352
1568,21.44
1569,29.08
1570,12.38
1571,20.817
1581,20.584
1583,12.615
1585,25.55
1588,8.613
1590,32.009
1602,5.767
1603,4.514
1604,6.439
1605,5.642
1606,5.93
1607,3.166
1608,0.448
1609,3.82
1610,2.126
1611,3.442
1612,15.315
1701,16.959
1702,8.092
1718,0.047
1719,10.286
1720,19.713
1721,12.33
1730,13.698
1731,0.791
1740,19.952
1741,15.265
1742,24.446
1745,0.399
1746,18.645
1747,5.171
1748,26.261
1749,11.522
1752,20.866
1754,5.213
1756,17.774
1757,14.88
1760,14.811
1770,15.817
1772,13.616
1773,13.62
1775,17.313
1776,24.239
1778,15.208
1801,12.654
1803,11.696
1810,30.849
1821,16.568
1824,17.75
1826,20.627
1827,16.456
1830,13.798
1832,11.36
1833,12.86
1834,8.884
1835,7.811
1840,0.498
1841,3.089
1843,3.369
1844,22.219
1845,26.307
1850,1.36
1851,3.338
1852,4.953
1854,3.934
1860,8.458
1862,9.241
1863,4.62
1864,13.14
1867,9.936
1876,20.459
1879,16.782
1880,6.908
1886,30.267
1887,16.978
1890,6.031
1901,0.248
1902,2.403
1904,4.521
1905,3.56
1906,10.806
1907,3.036
1908,1.046
1913,12.263
1915,15.093
1921,23.556
1922,9.588
1923,13.203
1929,13.972
1930,26.193
1937,0.073
1938,30.432
1940,10.548
1944,9.229
1945,4.386
1949,13.454
1950,8.348
1951,13.765
1952,15.404
1960,15.997
1966,6.992
1969,17.492
1970,8.109
1982,14.185
1983,11.923
1984,7.66
1985,13.451
2019,18.349
2021,18.797
2025,9.789
2026,10.244
2030,15.119
2032,2.34
2035,19.848
2038,26.626
2043,22.157
2045,2.658
2047,0.239
2048,20.101
2050,29.079
2052,14.402
2053,11.543
2054,12.022
2056,14.869
2061,20.941
2062,10.358
2066,16.927
2067,22.672
2071,0.97
2072,16.093
2081,17.92
2090,10.895
2093,21.706
2108,0.137
2109,0.174
2110,0.184
2111,0.27
2113,0.1
2114,0.45
2115,0.709
2116,0.631
2118,1.096
2119,1.598
2120,0.621
2121,1.745
2122,2.035
2124,3.003
2125,2.132
2126,2.082
2127,2.023
2128,4.851
2129,1.352
2130,3.334
2131,2.592
2132,4.561
2134,1.326
2135,2.635
2136,4.59
2138,2.74
2139,1.558
2140,1.154
2141,0.642
2142,0.278
2143,1.543
2144,1.082
2145,1.396
2148,5.045
2149,3.426
2150,2.208
2151,5.862
2152,1.972
2155,8.197
2163,0.099
2169,8.971
2170,2.083
2171,2.452
2176,4.679
2180,6.019
2184,13.749
2186,13.011
2188,3.719
2189,3.825
2190,7.118
2191,2.024
2199,0.057
2203,0.031
2210,0.965
2215,0.765
2301,12.434
2302,8.89
2322,4.29
2324,27.316
2330,37.409
2332,23.738
2333,17.209
2338,16.003
2339,15.609
2341,15.055
2343,7.007
2346,68.868
2347,29.766
2351,9.655
2356,13.707
2357,0.481
2359,21.777
2360,95.502
2364,18.657
2366,0.947
2367,14.674
2368,10.076
2370,10.311
2375,14.568
2379,15.321
2382,6.94
2420,6.584
2421,9.85
2445,2.603
2446,1.287
2451,5.523
2452,3.699
2453,3.499
2457,0.16
2458,2.002
2459,5.005
2460,1.344
2461,1.455
2462,0.529
2464,0.565
2465,2.243
2466,1.791
2467,4.872
2468,1.48
2472,4.031
2474,3.052
2476,2.094
2478,4.647
2481,5.642
2482,4.208
2492,9.527
2493,16.825
2494,2.767
2532,14.254
2534,2.286
2535,24.374
2536,27.681
2537,12.097
2538,4.551
2539,26.807
2540,10.717
2542,30.725
2543,9.932
2553,0.246
2554,39.128
2556,3.867
2557,7.205
2558,1.229
2559,5.032
2561,0.615
2562,3.347
2563,13.202
2564,5.768
2568,6.672
2571,19.902
2575,25.001
2576,9.765
2584,0.075
2601,8.594
