ZipCode,StateName,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
10025,New York,884400,892300,885100,1076100,1086300,1053100,952800,1007400,1.11E+06,1159900,1083400,968600
60657,Illinois,363700,369200,381600,340200,334100,,,,,,,
77494,Texas,327400,331200,336100,333700,330600,333900,322300,321400,309200,311300,304300,
79936,Texas,127100,127800,128100,126500,126700,1.31E+05,131900,130800,128900,130100,128400,126900
77449,Texas,171500,177200,180100,182100,178100,178600,178700,180800,184500,187400,1.91E+05,190700
10002,New York,847900,923200,965600,977500,869900,823200,799700,8.54E+05,782700,780900,7.22E+05,841200
10016,New York,789400,799600,797600,778800,757400,735200,775700,802500,885900,874700,897300,792600
37013,Tennessee,192400,195100,199400,2.07E+05,214500,216400,221300,216400,218300,2.17E+05,215300,214800
90250,California,588600,615700,645800,637400,632400,630800,656400,683200,685200,658500,642800,6.49E+05
37211,Tennessee,238500,2.56E+05,2.57E+05,265500,258800,257200,254500,245800,248200,252700,253900,2.58E+05
60618,Illinois,3.80E+05,395900,402600,408500,3.78E+05,366600,353400,370400,388800,393200,3.94E+05,3.89E+05
77573,Texas,258200,258500,261900,260400,256900,257100,260200,259500,267800,263800,265900,258400
77584,Texas,255600,250800,2.54E+05,256100,264700,253500,250500,246600,249600,256200,260200,268600
20002,District of Columbia,619800,661300,654800,630400,607600,588600,593200,593100,596700,5.98E+05,629200,630800
78130,Texas,2.14E+05,216100,228800,226400,227800,224100,226700,221600,,,,
28269,North Carolina,183200,188900,193200,197100,199500,199100,198300,191800,194400,195700,196700,199100
78613,Texas,2.84E+05,280400,274600,274200,277800,282200,291600,301800,305300,299400,302200,307700
94565,California,417400,434200,428400,425500,420500,432100,434700,430100,431300,429800,429200,429300
79912,Texas,206700,200200,200400,2.00E+05,201800,206600,198500,1.99E+05,191900,192200,181600,184300
20009,District of Columbia,564100,548100,555600,592900,584400,588300,5.51E+05,553400,529700,536600,533400,562300
75052,Texas,2.11E+05,225400,224100,222500,216200,205500,204600,210400,216400,224600,219900,
77433,Texas,247600,242600,257200,263400,270900,263500,255100,2.59E+05,269500,275300,274200,277400
73099,Oklahoma,151900,149600,149600,165200,167400,171800,167200,170600,165400,162600,162200,164500
77429,Texas,240300,238400,2.38E+05,234200,240900,241400,2.37E+05,236200,239300,2.48E+05,2.61E+05,276800
77479,Texas,349600,322700,315200,348900,354200,356700,347100,3.50E+05,354800,3.46E+05,329800,
30044,Georgia,179100,177700,181500,1.83E+05,191200,192600,195600,190900,193200,1.90E+05,194800,
63376,Missouri,1.93E+05,196700,198400,192600,189700,192400,196500,196600,198400,194900,201700,199500
30043,Georgia,222900,2.20E+05,217600,220500,224300,226100,226600,227800,229800,231400,229600,
60625,Illinois,258500,253400,253400,251500,268300,270900,284200,2.72E+05,290700,288400,301600,306600
60629,Illinois,165800,150900,154500,156200,164300,161500,163600,167100,172300,174900,1.83E+05,177500
28277,North Carolina,286600,307300,317900,323300,317800,315900,321600,3.19E+05,316400,311800,3.22E+05,322700
7030,New Jersey,739400,808600,758100,765500,698600,731600,682100,694800,636900,6.78E+05,661800,724400
78245,Texas,175800,173400,171200,1.70E+05,176900,182200,185300,182500,187400,192900,202600,201400
75287,Texas,277200,280200,279900,298200,329700,335900,329300,293200,306300,343600,355400,3.61E+05
85032,Arizona,220100,225500,221100,227100,2.24E+05,231700,243200,252700,252600,2.54E+05,255400,
23464,Virginia,230600,229700,243100,253800,256800,248500,237700,2.36E+05,2.39E+05,245200,247500,242400
30096,Georgia,201400,205600,214400,214600,214600,209700,215400,217500,226800,226500,225500,
75243,Texas,266100,283100,298300,304200,293400,269700,2.54E+05,230300,210800,225300,227200,
98052,Washington,6.90E+05,682300,714600,759500,771100,773200,7.43E+05,751500,785400,822100,808100,782600
94501,California,879200,863400,878400,889200,917400,923100,931200,981700,965900,982700,9.24E+05,936600
77379,Texas,219600,231700,2.40E+05,253800,252400,246200,240900,2.39E+05,249900,253400,2.66E+05,267400
8701,New Jersey,245900,246800,263200,257900,249300,223400,208800,203500,208600,219700,241800,
78666,Texas,221300,209100,210500,199800,199600,208300,2.09E+05,210900,2.07E+05,213600,209600,217900
30024,Georgia,311500,320600,332100,3.46E+05,343800,341500,3.34E+05,332700,328500,326200,335800,
33411,Florida,274600,271700,277500,268100,262900,257400,259400,265400,257800,250600,252300,
78745,Texas,3.03E+05,305800,298400,301500,299900,309100,306500,3.08E+05,306700,315300,322200,325500
94110,California,1.47E+06,1.46E+06,1.51E+06,1518300,1537700,1489300,1.43E+06,1459800,1495600,1471800,1440200,
33025,Florida,213200,226500,235200,227400,227700,219400,2.15E+05,205500,210400,209500,202700,210300
90034,California,989900,1025300,1049300,1156300,1078600,1030600,1054400,1131400,1175500,1106200,1036800,1.15E+06
33139,Florida,293900,340400,346300,345900,304400,307900,324600,294700,290400,265400,286600,279800
44107,Ohio,158700,189400,177500,183200,156800,168100,172400,168400,167800,1.63E+05,168200,165800
28027,North Carolina,224900,241500,232300,240600,233400,232800,229500,225300,214700,217900,216400,
75067,Texas,236800,242800,245500,252300,246900,242900,244100,252200,2.62E+05,261400,255700,246900
23462,Virginia,187700,204300,208500,196700,181200,183400,186400,192100,194300,188100,184500,180100
2169,Massachusetts,357100,370400,358700,3.66E+05,356800,358900,354400,3.68E+05,392200,410100,403100,
66062,Kansas,257900,264900,270600,264900,261500,254100,262800,263100,263300,255600,259900,
44035,Ohio,8.30E+04,77800,94800,97700,102200,9.40E+04,9.60E+04,92800,102600,104400,112900,108200
90044,California,415500,424700,430300,418200,414900,4.14E+05,420400,430400,4.31E+05,433700,419700,432600
95630,California,5.06E+05,5.10E+05,519900,5.34E+05,540100,529200,518600,522300,520400,530400,551300,568800
90805,California,454500,452700,456500,443700,444300,438200,443600,451100,455200,459100,452700,446100
85710,Arizona,164100,166800,171500,171100,171800,168500,168300,1.68E+05,165300,172200,172900,178200
90650,California,451200,465300,475300,471500,463700,462100,466900,467700,470500,466700,476900,475900
92683,California,629100,642900,641100,638200,638100,657900,659700,6.57E+05,664400,666700,655900,648200
60617,Illinois,87200,87600,100800,97900,95700,89400,94900,96700,87100,101400,99200,113100
37075,Tennessee,294300,282600,273200,272800,278500,286400,283300,287300,270500,267300,261100,
10314,New York,424700,422600,436800,446200,4.54E+05,445900,454100,442800,443400,449300,485600,
30281,Georgia,138900,143900,145900,154100,155300,157500,155700,157600,155700,161200,1.66E+05,
32210,Florida,124500,121700,119100,123600,128700,1.25E+05,1.30E+05,131600,134100,132300,129600,134900
85225,Arizona,237500,247200,2.47E+05,242400,236100,237500,245200,250400,,,,
87114,New Mexico,216600,216700,217500,216300,218600,216500,213600,214100,214300,215400,220100,
91910,California,5.00E+05,529300,506200,489800,459400,481100,4.88E+05,494700,476400,477600,487100,514500
6010,Connecticut,165900,153400,158500,167500,173300,166400,158900,163500,164700,1.62E+05,166300,
93722,California,249300,251600,248500,250100,251200,254300,255100,253500,249200,255700,252400,258200
78240,Texas,177400,1.79E+05,1.81E+05,185400,187800,189100,186500,185800,183900,183500,1.84E+05,184900
43081,Ohio,2.14E+05,223300,224700,216500,215800,217900,2.08E+05,211100,214500,222900,225100,226900
89108,Nevada,181200,188500,189500,191900,197400,212200,217200,217300,210200,214400,209200,
85308,Arizona,251300,2.47E+05,244800,248100,257200,252800,265800,2.80E+05,,,,
87111,New Mexico,261500,262600,272100,260600,259200,250200,2.52E+05,260600,261400,262600,261600,
48180,Michigan,98700,95600,93400,89200,89600,88100,93100,92800,89800,92500,96400,
34787,Florida,338100,328100,322600,3.23E+05,325500,328500,325800,330500,338800,,,
97229,Oregon,514800,530900,540200,5.26E+05,509200,520300,533900,545300,533100,528800,541800,555200
76063,Texas,255800,265800,279600,280500,269800,263900,268600,265100,2.73E+05,274600,287800,275300
15601,Pennsylvania,145800,138800,139700,143300,158600,158500,156500,151100,140500,140200,142400,157700
77459,Texas,285300,285400,299200,302400,304700,291800,282400,266400,258900,251300,261600,
91709,California,680500,681500,683900,680500,660500,636600,607500,649900,665900,682500,667700,648900
95608,California,386800,390300,3.76E+05,385200,3.84E+05,402600,390100,391400,3.98E+05,390200,401100,390100
79938,Texas,146300,144700,149700,147300,145300,149100,152300,152900,1.48E+05,148200,147800,145300
44060,Ohio,157500,1.64E+05,151600,157900,152200,163200,152900,1.52E+05,148400,149700,148700,151700
43123,Ohio,186800,188500,181300,180300,181200,178800,177200,181300,181500,184400,177600,184800
80013,Colorado,330500,324600,327800,329600,339600,341800,338600,335100,3.33E+05,338200,340200,339400
33024,Florida,257100,260800,263300,267800,265500,2.64E+05,261500,265400,262300,262400,267400,273500
33908,Florida,232500,2.35E+05,249200,260800,251700,254200,245700,2.48E+05,228200,218200,219900,
75056,Texas,290300,292100,280600,276400,2.75E+05,277700,290500,299100,3.16E+05,318800,321800,316600
98012,Washington,538200,552700,575100,5.81E+05,588700,589700,589900,578400,557200,5.36E+05,539200,551300
90066,California,1250400,1310800,1295100,1288500,1288300,1285400,1273600,1278600,1282800,1250900,1230300,1.25E+06
20906,Maryland,295400,283400,285600,291600,305700,307300,313700,310200,299600,2.97E+05,306300,
76028,Texas,195600,204500,220100,226900,226800,218400,219500,220800,227500,224200,221100,215900
92677,California,702700,746200,779300,809100,785200,789600,794300,809700,858400,843500,848700,761500
30040,Georgia,277900,296700,300500,306400,293800,298500,310800,306800,306500,297100,310100,
44256,Ohio,199200,215200,218500,224500,218600,214900,207300,199100,200300,197300,200800,212500
2148,Massachusetts,374100,427800,443600,434400,397900,419100,434600,443100,440200,465500,4.48E+05,
95823,California,263100,268100,266100,264600,265400,272600,275300,271900,273600,271700,273400,271800
6902,Connecticut,410500,440300,432300,416900,430400,4.04E+05,388500,374100,349400,402800,376600,
92336,California,448400,442200,449100,4.48E+05,450100,444300,442400,441300,4.45E+05,449300,448300,
45011,Ohio,202700,193300,197700,201800,218300,213500,210400,201700,199700,200800,203700,
27410,North Carolina,197400,194300,191900,189300,189500,195200,202900,1.99E+05,195700,198900,210400,210100
30188,Georgia,225700,232100,240200,2.47E+05,243200,238100,234400,235300,236500,238700,2.39E+05,
92345,California,236600,245900,250800,248900,248900,253600,256900,2.57E+05,258200,250400,249700,242400
